,Event,Time,Port,Vessel,VesselType
0,Departure,2019-12-02 11:25,AMSTERDAM,LAUWERSOOG [NL],undefined
1,Departure,2019-12-02 11:25,AMSTERDAM,PONT 6 [NL],passenger
2,Arrival,2019-12-02 11:24,AMSTERDAM,SB 35 [NL],undefined
3,Arrival,2019-12-02 11:24,AMSTERDAM,SAMBA [NL],tanker
4,Arrival,2019-12-02 11:21,AMSTERDAM,XANTHOS [NL],cargo
5,Departure,2019-12-02 11:20,AMSTERDAM,BONAIRE [NL],cargo
6,Departure,2019-12-02 11:18,AMSTERDAM,DE HOOP [NL],cargo
7,Arrival,2019-12-02 11:17,AMSTERDAM,DORUS [NL],cargo
8,Departure,2019-12-02 11:16,AMSTERDAM,MARISKA [NL],cargo
9,Arrival,2019-12-02 11:15,AMSTERDAM,PONT 6 [NL],passenger
10,Arrival,2019-12-02 11:14,AMSTERDAM,CRANEBARGE 1 [NL],tug
11,Arrival,2019-12-02 11:14,AMSTERDAM,DANK SILVER [NL],tanker
12,Arrival,2019-12-02 11:14,AMSTERDAM,CURACAO [NL],tanker
13,Departure,2019-12-02 11:13,AMSTERDAM,NOVARE [NL],tug
14,Arrival,2019-12-02 11:11,AMSTERDAM,RIJNLAND [NL],cargo
15,Departure,2019-12-02 11:09,AMSTERDAM,AMY [NL],tanker
16,Arrival,2019-12-02 11:07,AMSTERDAM,NOMADIS [NL],cargo
17,Arrival,2019-12-02 11:07,AMSTERDAM,ANTONIE [NL],tanker
18,Departure,2019-12-02 11:04,AMSTERDAM,SATURNUS [NL],tug
19,Departure,2019-12-02 11:03,AMSTERDAM,LYNX [NL],tug
20,Departure,2019-12-02 11:03,AMSTERDAM,PONT 6 [NL],passenger
21,Arrival,2019-12-02 11:02,AMSTERDAM,NEPTUNUS [NL],cargo
22,Arrival,2019-12-02 11:01,AMSTERDAM,EDITH [NL],tug
23,Arrival,2019-12-02 11:00,AMSTERDAM,ADELINE [NL],cargo
24,Arrival,2019-12-02 10:58,AMSTERDAM,LONGRUN [NL],cargo
25,Arrival,2019-12-02 10:58,AMSTERDAM,STORMVOGEL [NL],undefined
26,Departure,2019-12-02 10:58,AMSTERDAM,RIJNLAND [NL],cargo
27,Arrival,2019-12-02 10:56,AMSTERDAM,PONT 6 [NL],passenger
28,Arrival,2019-12-02 10:56,AMSTERDAM,CORENDIJCK [NL],cargo
29,Departure,2019-12-02 10:56,AMSTERDAM,CRANEBARGE 1 [NL],tug
30,Departure,2019-12-02 10:54,AMSTERDAM,AQUA VITA [NL],tanker
31,Departure,2019-12-02 10:51,AMSTERDAM,ZEEHOND [NL],undefined
32,Departure,2019-12-02 10:48,AMSTERDAM,DIADEMA [NL],cargo
33,Arrival,2019-12-02 10:47,AMSTERDAM,CHALLENGE [NL],tanker
34,Departure,2019-12-02 10:46,AMSTERDAM,PONT 6 [NL],passenger
35,Arrival,2019-12-02 10:44,AMSTERDAM,COMPONIST [NL],tanker
36,Departure,2019-12-02 10:42,AMSTERDAM,CORNELIS [NL],cargo
37,Departure,2019-12-02 10:41,AMSTERDAM,ANNA-MARIA V [NL],passenger
38,Arrival,2019-12-02 10:38,AMSTERDAM,PONT 6 [NL],passenger
39,Departure,2019-12-02 10:37,AMSTERDAM,ZEELANDIA [NL],cargo
40,Arrival,2019-12-02 10:37,AMSTERDAM,STIEN [NL],tug
41,Arrival,2019-12-02 10:35,AMSTERDAM,ACTIEF [NL],tanker
42,Departure,2019-12-02 10:31,AMSTERDAM,THALYS [NL],tanker
43,Departure,2019-12-02 10:28,AMSTERDAM,PONT 6 [NL],passenger
44,Departure,2019-12-02 10:28,AMSTERDAM,SB 35 [NL],undefined
45,Departure,2019-12-02 10:26,AMSTERDAM,MARPOL 16 [NL],undefined
46,Departure,2019-12-02 10:25,AMSTERDAM,SARAH [NL],passenger
47,Departure,2019-12-02 10:24,AMSTERDAM,ETERNITY [NL],tanker
48,Arrival,2019-12-02 10:24,AMSTERDAM,MS ZOE [NL],cargo
49,Departure,2019-12-02 10:24,AMSTERDAM,CARITAS [NL],cargo
50,Arrival,2019-12-02 10:22,AMSTERDAM,BO JO [NL],undefined
51,Departure,2019-12-02 10:22,AMSTERDAM,ELKA ELEFTHERIA [NL],tanker
52,Arrival,2019-12-02 10:18,AMSTERDAM,PONT 6 [NL],passenger
53,Arrival,2019-12-02 10:17,AMSTERDAM,STERNA [NL],tug
54,Arrival,2019-12-02 10:16,AMSTERDAM,AMSTELPLUS [NL],undefined
55,Arrival,2019-12-02 10:12,AMSTERDAM,SVITZER TITAN [NL],tug
56,Departure,2019-12-02 10:12,AMSTERDAM,CORENDIJCK [NL],cargo
57,Arrival,2019-12-02 10:11,AMSTERDAM,LYNX [NL],tug
58,Arrival,2019-12-02 10:10,AMSTERDAM,SATURNUS [NL],tug
59,Arrival,2019-12-02 10:08,AMSTERDAM,PA5/POLLUX [NL],tug
60,Departure,2019-12-02 10:05,AMSTERDAM,NOMADIS [NL],cargo
61,Arrival,2019-12-02 10:03,AMSTERDAM,WESTLANDGRACHT [NL],tanker
62,Departure,2019-12-02 10:02,AMSTERDAM,RODIE [NL],tug
63,Departure,2019-12-02 10:02,AMSTERDAM,PONT 6 [NL],passenger
64,Departure,2019-12-02 10:01,AMSTERDAM,MS ZOE [NL],cargo
65,Departure,2019-12-02 10:00,AMSTERDAM,ANGELA-W [NL],cargo
66,Arrival,2019-12-02 09:56,AMSTERDAM,RIJNLAND [NL],cargo
67,Arrival,2019-12-02 09:56,AMSTERDAM,SM NEW ORLEANS [NL],cargo
68,Departure,2019-12-02 09:55,AMSTERDAM,VITESSE [NL],cargo
69,Departure,2019-12-02 09:54,AMSTERDAM,LYNX [NL],tug
70,Arrival,2019-12-02 09:54,AMSTERDAM,PONT 6 [NL],passenger
71,Departure,2019-12-02 09:52,AMSTERDAM,SATURNUS [NL],tug
72,Arrival,2019-12-02 09:51,AMSTERDAM,ZEELANDIA [NL],cargo
73,Arrival,2019-12-02 09:51,AMSTERDAM,KP8 [NL],tug
74,Arrival,2019-12-02 09:51,AMSTERDAM,BERTUS JR. [NL],undefined
75,Departure,2019-12-02 09:50,AMSTERDAM,MARIA JEANET [NL],cargo
76,Departure,2019-12-02 09:50,AMSTERDAM,CONCORDE [NL],tanker
77,Departure,2019-12-02 09:49,AMSTERDAM,ATLANTIC  WIND [NL],tanker
78,Departure,2019-12-02 09:49,AMSTERDAM,RIJNLAND [NL],cargo
79,Arrival,2019-12-02 09:49,AMSTERDAM,KP10 [NL],tug
80,Arrival,2019-12-02 09:48,AMSTERDAM,RIVAL [NL],cargo
81,Departure,2019-12-02 09:46,AMSTERDAM,PA5/POLLUX [NL],tug
82,Departure,2019-12-02 09:43,AMSTERDAM,PONT 6 [NL],passenger
83,Departure,2019-12-02 09:41,AMSTERDAM,SVITZER TITAN [NL],tug
84,Arrival,2019-12-02 09:40,AMSTERDAM,DE HOOP [NL],cargo
85,Departure,2019-12-02 09:40,AMSTERDAM,BO JO [NL],undefined
86,Departure,2019-12-02 09:37,AMSTERDAM,STERNA [NL],tug
87,Arrival,2019-12-02 09:37,AMSTERDAM,BARTJE 4 [NL],tanker
88,Departure,2019-12-02 09:36,AMSTERDAM,LUDOVICA [NL],undefined
89,Arrival,2019-12-02 09:36,AMSTERDAM,CORNELIS [NL],cargo
90,Arrival,2019-12-02 09:35,AMSTERDAM,PONT 6 [NL],passenger
91,Departure,2019-12-02 09:33,AMSTERDAM,BERTUS JR. [NL],undefined
92,Departure,2019-12-02 09:31,AMSTERDAM,KP8 [NL],tug
93,Arrival,2019-12-02 09:31,AMSTERDAM,JOHANNES VERMEER [NL],passenger
94,Departure,2019-12-02 09:31,AMSTERDAM,RIVAL [NL],cargo
95,Arrival,2019-12-02 09:29,AMSTERDAM,ZWAANTJE 6 [NL],undefined
96,Arrival,2019-12-02 09:26,AMSTERDAM,DAISY DOARDO [NL],undefined
97,Arrival,2019-12-02 09:26,AMSTERDAM,LINDO [NL],cargo
98,Arrival,2019-12-02 09:25,AMSTERDAM,CURATA [NL],cargo
99,Departure,2019-12-02 09:25,AMSTERDAM,PONT 6 [NL],passenger
